Row.names	sub_grp_6	d	p	c	o	f	g	s	
1194	GFS_6430	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
1219	GFS_6633	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1227	GFS_6713	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
1229	GFS_6721	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
1243	GFS_6818	2	d__Bacteria	p__Bdellovibrionota	c_C87	o__UBA2466	f__	g__	s__
1250	GFS_6863	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
1251	GFS_6865	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__21-14-0-10-47-8	s__
1255	GFS_6910	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1260	GFS_6979	2	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
1301	GFS_7426	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1313	GFS_7509	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1354	GFS_7976	2	d__Bacteria	p__Bdellovibrionota	c_C87	o__UBA2466	f__	g__	s__
1378	GFS_8318	2	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
1418	GFS_8752	2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__
1420	GFS_8783	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1428	GFS_8869	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074139	s__
1438	GFS_8969	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1442	GFS_8995	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1450	GFS_913	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
1464	GFS_9240	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHV01	s__
1470	GFS_9251	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1478	GFS_9291	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__	g__	s__
1505	GFS_9422	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PALSA-1152	s__
1510	GFS_9469	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__PSRN01	s__
1517	GFS_9516	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
1535	GFS_971	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1545	GFS_9826	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
1551	GFS_9876	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__JACMQW01	s__
1558	GFS_9957	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__	s__
1569	GL102_UP_metabinner_1	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1603	GL109_DN_metabinner_3	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__PSRN01	s__
1610	GL111_DN_concoct_63	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__	g__	s__
1623	GL114_DN_metabinner_22_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074139	s__
1625	GL114_DN_metabinner_27_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1626	GL114_DN_metabinner_3	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1652	GL116_DN_metabinner_41	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1675	GL117_UP_concoct_38	2	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
1676	GL117_UP_concoct_61_sub	2	d__Bacteria	p__Bdellovibrionota	c_C87	o__UBA2466	f__	g__	s__
1701	GL12_DownB_concoct_31	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1709	GL121_UP_metabinner_1	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1711	GL122_DN_concoct_176_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1716	GL122_DN_metabat_25	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
1717	GL122_DN_metabinner_12_sub	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
1724	GL122_UP_concoct_204	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
1734	GL124_DN_concoct_140	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
1749	GL124_DN_metabinner_1	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__RBG-16-40-8	s__
1751	GL124_DN_metabinner_19	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__UBA6776	s__
1758	GL124_DN_metabinner_4	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
1762	GL124_UP_concoct_186	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
1764	GL124_UP_concoct_207	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
1774	GL124_UP_metabat_123	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1776	GL124_UP_metabat_8_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
1797	GL132_DN_concoct_262	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
1801	GL132_UP_concoct_56	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
1809	GL133_UP_concoct_53	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Nannocystis	s__
1812	GL135_DN_metabat_53_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
1815	GL135_UP_concoct_13	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
1823	GL137_UP_concoct_56	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
1825	GL137_UP_concoct_73	2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__
1831	GL139_UP_concoct_236_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JADJCA01	s__
1832	GL139_UP_concoct_52_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
1839	GL139_UP_metabinner_1	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PMG-095	s__
1843	GL139_UP_metabinner_22_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__JAFGIB01	g__	s__
1853	GL140_1_concoct_178_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
1872	GL140_2_concoct_166	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
1875	GL140_2_concoct_333	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PALSA-1152	s__
1910	GL140_3_metabinner_64	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
1916	GL140_4_concoct_80	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
1960	GL17_Down_metabinner_14	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1967	GL22_UP_concoct_73	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1982	GL26_UP_concoct_141	2	d__Bacteria	p__Myxococcota_A	c__UBA796	o__UBA796	f__SXON01	g__	s__
1989	GL27_UP_concoct_35_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1991	GL27_UP_concoct_47	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__RGVZ01	g__	s__
2019	GL30_UP_concoct_163	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
2021	GL30_UP_concoct_80	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__JAFLCL01	s__
2054	GL34_DN_concoct_229	2	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
2066	GL34_UP_concoct_60	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
2078	GL35_DN_concoct_158	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
2109	GL44_UP_metabat_111	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
2139	GL47_Up_concoct_181_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2140	GL47_Up_concoct_238_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2145	GL47_Up_metabinner_11	2	d__Bacteria	p__Bdellovibrionota_C	c__UBA2361	o__UBA2361	f__OMII01	g__	s__
2149	GL48_Down_metabinner_7	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
2158	GL49_Down_metabat_92	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
2162	GL49_Down_metabinner_6_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__	s__
2195	GL52_DN_concoct_128	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
2247	GL54_DN_metabinner_6	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
2265	GL54_UP_metabinner_5	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2271	GL56_Down_metabat_34	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2301	GL65_DN_concoct_113	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
2302	GL65_DN_concoct_128	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__	s__
2304	GL65_DN_concoct_201	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2341	GL72_DN_concoct_181	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__	s__
2356	GL72_DN_metabat_174_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__UBA2316	s__
2359	GL72_DN_metabat_34	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__UBA6776	s__
2367	GL72_DN_metabinner_34_sub	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__RGVZ01	g__	s__
2404	GL72_UP_metabinner_28	2	d__Bacteria	p__Bdellovibrionota	c_C87	o__UBA2466	f__UBA2466	g__	s__
2418	GL73_DN_concoct_207_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2424	GL73_DN_concoct_64	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
2436	GL74_DN_concoct_155_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__	s__
2495	GL74_UP_metabinner_87_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
2506	GL75_UP_concoct_133	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
2513	GL75_UP_metabinner_8	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074137	s__
2537	GL82_DN_concoct_127	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__RGVZ01	g__	s__
2541	GL82_DN_concoct_89_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2561	GL85_DN_concoct_11	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
2570	GL85_DN_concoct_3	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
2571	GL85_DN_concoct_37	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
2572	GL85_DN_concoct_39	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__JACMQW01	s__
2573	GL85_DN_concoct_86	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2578	GL85_DN_metabat_86	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2589	GL85_UP_concoct_158	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
2623	GL90_UP_concoct_198	2	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__UBA1565	f__UBA9628	g__GWA2-66-18	s__
2642	GL92_UP_concoct_173	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
2647	GL92_UP_metabat_154	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
2652	GL93_DN_concoct_103_sub	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__CAIWCD01	s__
2667	GL93_UP_concoct_182	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
2675	GL93_UP_concoct_57_sub	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__	s__
2676	GL93_UP_concoct_71_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2683	GL93_UP_metabinner_28_sub	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
2688	GL94_DN_concoct_230	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__RGVZ01	g__	s__
2690	GL94_DN_concoct_97_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
2698	GL94_UP_concoct_149	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2716	GL95_DN_concoct_12_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2749	GL97_UP_metabat_16	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SZUA-265	s__
2758	GL98_DN_metabat_112	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2762	GL98_UP_concoct_80	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
2790	GLR19_GL16_UP_3_concoct_63	2	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__VGSZ01	s__
2797	GLR20_GL16_DN_1_concoct_109	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
2802	GLR21_GL16_DN_2_concoct_140	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
2837	GLR80_GL56_UP_1_concoct_69	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
2845	GLR81_GL56_UP_2_concoct_103	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHV01	s__
3	336R_concoct_171_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SHXO01	g__	s__
5	336R_concoct_227_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAIPHQ01	s__
9	336R_concoct_272_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chitinibacteraceae	g__Iodobacter	s__
12	336R_concoct_308_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAIXEA01	s__
16	336R_concoct_84_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Pseudolysobacter	s__
19	336R_metabat_264	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__SXRF01	g__JABDCD01	s__
20	336R_metabat_339_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__PALSA-1005	s__
25	336R_metabinner_177_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__	s__
28	336R_metabinner_25	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
34	336R_metabinner_49	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__PALSA-1004	s__
39	336R_metabinner_8	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__CAITSH01	s__
41	337R_metabat_172	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__UBA1936	s__
46	337R_metabinner_26_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
49	337R_metabinner_9	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chitinibacteraceae	g__Iodobacter	s__
52	338R_concoct_161	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylotenera	s__Methylotenera sp014378495
53	338R_concoct_193	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JADJBS01	s__
54	338R_concoct_195	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax_B	s__
56	338R_concoct_227	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Aquirhabdus	s__
57	338R_concoct_33_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__CAHJWT01	s__
58	338R_concoct_41_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Aquirhabdus	s__
59	338R_concoct_47	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
62	338R_concoct_82	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAIMOR01	s__
65	338R_metabinner_10	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAIQQQ01	s__
66	338R_metabinner_17	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Undibacterium	s__Undibacterium parvum
67	338R_metabinner_18	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__	s__
70	338R_metabinner_33_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__	s__
72	338R_metabinner_45_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Variovorax	s__
77	339R_concoct_180	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__
80	339R_concoct_81_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
83	339R_metabinner_19	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
87	339R_metabinner_38	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__Casimicrobium	s__
90	340R_metabinner_16_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
91	340R_metabinner_33_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
92	340R_metabinner_40	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
98	341R_metabat_147	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAHJXG01	s__
103	341R_metabinner_6	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__Casimicrobium	s__
107	GFS_10018	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAHJXF01	s__
111	GFS_10026	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__LMDS01	s__
116	GFS_10061	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
118	GFS_10091	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Undibacterium	s__
119	GFS_10095	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__
124	GFS_10141	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__SZUA-430	s__
125	GFS_10147	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__CAIKZZ01	s__
126	GFS_10151	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Ga0077523	g__Ga0077523	s__
127	GFS_10162	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
132	GFS_10174	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
